case_type,V,T,RR,N,conversion,distillate_purity,nC5_outlet_flow,iC5_outlet_flow,temperature_out,condenser_duty,reboiler_duty,heat_duty,success_flag,error_message
PFR,0.5,350,,,0.015271,,98472884.599,1527115.401,350.0,,,-65.1934,1,
PFR,0.5,375,,,0.061389,,93861122.882,6138877.118,375.0,,,-262.0738,1,
PFR,0.5,400,,,0.195645,,80435493.427,19564506.573,400.0,,,-835.1971,1,
PFR,0.5,425,,,0.475251,,52474879.796,47525120.204,425.0,,,-2028.701,1,
PFR,0.5,450,,,0.812013,,18798671.918,81201328.082,450.0,,,-3465.9748,1,
PFR,1.0,350,,,0.030305,,96969484.825,3030515.175,350.0,,,-129.3744,1,
PFR,1.0,375,,,0.11899,,88101047.039,11898952.962,375.0,,,-507.9762,1,
PFR,1.0,400,,,0.352943,,64705743.717,35294256.284,400.0,,,-1506.6909,1,
PFR,1.0,425,,,0.72452,,27547980.402,72452019.598,425.0,,,-3092.7539,1,
PFR,1.0,450,,,0.965239,,3476065.973,96523934.028,450.0,,,-4120.0007,1,
PFR,2.0,350,,,0.059677,,94032338.85,5967661.151,350.0,,,-254.7628,1,
PFR,2.0,375,,,0.223753,,77624679.391,22375320.609,375.0,,,-955.221,1,
PFR,2.0,400,,,0.58115,,41885040.092,58114959.908,400.0,,,-2480.8931,1,
PFR,2.0,425,,,0.924011,,7598906.415,92401093.585,425.0,,,-3944.3177,1,
PFR,2.0,450,,,0.998824,,117615.355,99882384.646,450.0,,,-4263.3497,1,
PFR,5.0,350,,,0.142477,,85752313.271,14247686.729,350.0,,,-608.241,1,
PFR,5.0,375,,,0.468784,,53121605.936,46878394.065,375.0,,,-2001.2761,1,
PFR,5.0,400,,,0.886174,,11382580.236,88617419.764,400.0,,,-3783.0215,1,
PFR,5.0,425,,,0.998397,,160314.955,99839685.045,425.0,,,-4261.8413,1,
PFR,5.0,450,,,1.0,,4.827,99999995.174,450.0,,,-4268.3622,1,
PFR,10.0,350,,,0.264359,,73564147.734,26435852.267,350.0,,,-1128.5583,1,
PFR,10.0,375,,,0.717256,,28274382.328,71725617.672,375.0,,,-3062.019,1,
PFR,10.0,400,,,0.986953,,1304721.613,98695278.388,400.0,,,-4213.2278,1,
PFR,10.0,425,,,0.999997,,262.224,99999737.776,425.0,,,-4268.6606,1,
PFR,10.0,450,,,1.0,,0.0,100000000.0,450.0,,,-4268.3498,1,
Distillation,,,1.2,10,,0.61011,,,,0.736,-0.816,,1,
Distillation,,,1.2,15,,0.62344,,,,0.736,-0.816,,1,
Distillation,,,1.2,20,,0.627314,,,,0.735,-0.816,,1,
Distillation,,,1.2,25,,0.629409,,,,0.735,-0.815,,1,
Distillation,,,1.5,10,,0.619454,,,,0.836,-0.916,,1,
Distillation,,,1.5,15,,0.636484,,,,0.835,-0.916,,1,
Distillation,,,1.5,20,,0.642193,,,,0.835,-0.915,,1,
Distillation,,,1.5,25,,0.64534,,,,0.835,-0.915,,1,
Distillation,,,2.0,10,,0.632594,,,,1.003,-1.083,,1,
Distillation,,,2.0,15,,0.655908,,,,1.002,-1.082,,1,
Distillation,,,2.0,20,,0.665398,,,,1.001,-1.081,,1,
Distillation,,,2.0,25,,0.670857,,,,1.001,-1.081,,1,
Distillation,,,3.0,10,,0.652061,,,,1.336,-1.416,,1,
Distillation,,,3.0,15,,0.68689,,,,1.334,-1.414,,1,
Distillation,,,3.0,20,,0.705105,,,,1.333,-1.413,,1,
Distillation,,,3.0,25,,0.716672,,,,1.332,-1.412,,1,
Distillation,,,4.0,10,,0.665562,,,,1.669,-1.749,,1,
Distillation,,,4.0,15,,0.709691,,,,1.666,-1.746,,1,
Distillation,,,4.0,20,,0.73621,,,,1.664,-1.744,,1,
Distillation,,,4.0,25,,0.754416,,,,1.662,-1.742,,1,
